date,SPDYNLE00INUSA,CPIMEDSL,CPIHOSNS,CUSR0000SEMD,AHETPI,MEHOINUSA672N,medical_indexed,wage_indexed,healthcare_burden,life_exp_gained,medical_cost_increase,cost_per_life_year
1960-01-01,69.7707317073171,21.9,,,,,29.255259935433596,,,-3.8390243902439067,-69.32773109243698,18.0586847191227
1961-01-01,70.2707317073171,22.6,,,,,30.190359568073035,,,-3.3390243902439067,-68.34733893557423,20.469254173546673
1962-01-01,70.119512195122,23.2,,,,,30.991873538906827,,,-3.490243902439005,-67.50700280112045,19.34162903456292
1963-01-01,69.9170731707317,23.9,,,,,31.92697317154626,,,-3.692682926829306,-66.52661064425772,18.015792842896555
1964-01-01,70.1658536585366,24.4,,,2.5,,32.59490148057442,36.518563603164935,0.8925570522097297,-3.4439024390243986,-65.82633053221289,19.113877845755823
1965-01-01,70.2146341463415,24.8,,,2.58,,33.12924412779696,37.68715763846622,0.8790592393729071,-3.395121951219508,-65.26610644257703,19.22349399529929
1966-01-01,70.2121951219512,25.6,,,2.68,,34.19792942224202,39.147900182592814,0.873557183469273,-3.3975609756098066,-64.14565826330532,18.87991377455477
1967-01-01,70.5609756097561,27.4,30.5,,2.8,,36.602471334743406,40.90079123554472,0.8949086369491582,-3.0487804878049047,-61.62464985994398,20.21288515406145
1968-01-01,69.9512195121951,29.1,31.3,,2.94,,38.873427585439174,42.94583079732197,0.905173490970473,-3.6585365853659084,-59.2436974789916,16.193277310924127
1969-01-01,70.5073170731708,30.9,32.9,,3.12,,41.27796949794056,45.57516737674984,0.9057118574401224,-3.1024390243902076,-56.72268907563025,18.28325669890619
1970-01-01,70.8073170731707,32.8,35.1,,3.31,,43.81609707224759,48.35057821059038,0.9062166098905186,-2.80243902439031,-54.06162464985995,19.290919152691085
1971-01-01,71.1073170731707,35.2,37.5,,3.53,,47.02215295558278,51.56421180766889,0.9119145102221732,-2.5024390243902985,-50.700280112044815,20.260345853740663
1972-01-01,71.1560975609756,36.8,38.9,,3.8,,49.1595235444729,55.508216676810704,0.885626065609309,-2.453658536585408,-48.459383753501406,19.749848249438603
1973-01-01,71.3560975609756,38.0,40.1,,4.03,,50.762551486140495,58.86792452830189,0.8623125733222584,-2.253658536585405,-46.778711484593835,20.75678756350989
1974-01-01,71.9560975609756,40.1,43.3,,4.27,,53.567850384058794,62.3737066342057,0.8588210205016454,-1.6536585365853966,-43.8375350140056,26.509423828527968
1975-01-01,72.6048780487805,45.3,49.0,,4.61,,60.51430479795169,67.34023128423615,0.8986352384583751,-1.0048780487804976,-36.55462184873951,36.377172228114205
1976-01-01,72.8560975609756,49.7,52.6,,4.9,,66.39207391739956,71.57638466220328,0.9275695361078868,-0.7536585365854052,-30.3921568627451,40.32616282758848
1977-01-01,73.2560975609756,54.6,55.5,,5.26,,72.93777134587556,76.83505782105902,0.9492772363852467,-0.3536585365853995,-23.529411764705888,66.5314401622655
1978-01-01,73.3560975609756,59.3,59.7,52.3,5.66,,79.2162974507403,82.67802799756542,0.958129981681142,-0.25365853658540516,-16.9467787114846,66.80941607411164
1979-01-01,73.8048780487805,64.8,65.6,58.2,6.13,,86.56350885005011,89.54351795496042,0.9667199907601438,0.19512195121949105,-9.243697478991608,-47.373949579837124
1980-01-01,73.609756097561,71.4,76.2,64.8,6.57,,95.38016252922188,95.97078514911746,0.9938458081907128,0.0,0.0,
1981-01-01,74.009756097561,78.6,85.9,74.6,7.18,,104.99833017922744,104.88131466828968,1.0011156945477642,0.3999999999999915,10.084033613445364,25.210084033613946
1982-01-01,74.3609756097561,88.2,94.3,85.5,7.72,,117.8225537125682,112.76932440657332,1.044810318165747,0.7512195121950924,23.529411764705888,31.321619556914914
1983-01-01,74.4634146341463,97.9,97.9,95.6,8.06,,130.7803629077146,117.73584905660375,1.1107947490559091,0.8536585365853,37.11484593837535,43.47739095638591
1984-01-01,74.5634146341464,104.0,101.4,105.6,8.38,60420.0,138.9290882778582,122.41022519780888,1.1349467583558126,0.9536585365853938,45.65826330532212,47.87695129202435
1985-01-01,74.5634146341464,110.2,105.3,113.5,8.61,61570.0,147.21139930980743,125.76993304930004,1.17048165440386,0.9536585365853938,54.341736694677856,56.98238374633572
1986-01-01,74.6146341463415,118.0,109.9,119.3,8.85,63850.0,157.6310809306468,129.2757151552039,1.219340235259193,1.0048780487804976,65.26610644257703,64.94928068314641
1987-01-01,74.7658536585366,126.7,112.0,127.5,9.02,64650.0,169.25303350773686,131.7589774802191,1.284565475116462,1.1560975609755957,77.45098039215685,66.99346405228839
1988-01-01,74.7658536585366,134.4,116.2,137.2,9.29,65130.0,179.5391294667706,135.7029823493609,1.3230300938011488,1.1560975609755957,88.23529411764706,76.32166790767033
1989-01-01,75.0170731707317,143.8,120.7,152.5,9.65,66240.0,192.09618167650012,140.9616555082167,1.362754863965845,1.4073170731707023,101.40056022408963,72.05239114710159
1990-01-01,75.2146341463415,156.0,125.9,169.5,10.02,65440.0,208.3936324167873,146.36640292148508,1.423780514224807,1.604878048780492,118.48739495798317,73.82953181272488
1991-01-01,75.3658536585366,171.0,131.8,188.8,10.37,63530.0,228.43148168763224,151.47900182592815,1.508007571571761,1.75609756097559,139.49579831932772,79.43510737628473
1992-01-01,75.6170731707317,184.3,135.7,205.6,10.64,63010.0,246.19837470778145,155.42300669507,1.5840536091983273,2.0073170731706966,158.1232492997199,78.77342917726159
1993-01-01,75.419512195122,196.4,139.3,223.7,10.93,62700.0,262.362239786263,159.6591600730371,1.6432645622477515,1.8097560975609923,175.07002801120447,96.73680793071856
1994-01-01,75.619512195122,206.4,142.9,239.6,11.2,63370.0,275.7208059668263,163.6031649421789,1.6853023965903855,2.009756097560995,189.07563025210084,94.07889369339877
1995-01-01,75.6219512195122,216.6,146.4,252.6,11.48,65380.0,289.3465434710008,167.6932440657334,1.7254514043367246,2.012195121951194,203.3613445378151,101.06442577030938
1996-01-01,76.0268292682927,225.2,150.6,264.4,11.86,66340.0,300.83491038628523,173.24406573341446,1.736480318172663,2.4170731707316975,215.40616246498593,89.11859395625085
1997-01-01,76.4292682926829,231.8,155.1,275.0,12.29,67720.0,309.651564065457,179.52525867315882,1.7248356379154666,2.819512195121902,224.6498599439776,79.67685344033946
1998-01-01,76.5804878048781,238.1,158.3,282.8,12.79,70200.0,318.0674607592119,186.82897139379185,1.7024525606834284,2.9707317073171,233.47338935574226,78.59120659758085
1999-01-01,76.5829268292683,246.5,161.8,293.8,13.27,71980.0,329.28865635088505,193.84053560559948,1.6987605576001763,2.973170731707299,245.2380952380952,82.48369076917116
2000-01-01,76.6365853658537,255.6,166.0,307.8,13.74,71790.0,341.44495157519765,200.70602556299448,1.7012192365297485,3.026829268292701,257.9831932773109,85.23215893932057
2001-01-01,76.8365853658537,267.2,174.1,327.8,14.29,70610.0,356.94088834465106,208.74010955569076,1.7099774887749644,3.22682926829269,274.2296918767507,84.98425825356578
2002-01-01,76.9365853658537,279.8,177.6,352.5,14.76,70040.0,373.7726817321608,215.6055995130858,1.7335945011459473,3.3268292682926983,291.87675070028007,87.73421392017175
