date,CPIMEDSL,CPIHOSNS,CUSR0000SEMD,AHETPI,MEHOINUSA672N,medical_indexed,wage_indexed,healthcare_burden
2006-05-01,335.0,202.2,465.6,16.66,,447.51196704887013,243.35970785149118,1.8388909610376492
2006-06-01,336.0,203.7,468.3,16.72,,448.8478236669265,244.23615337796707,1.8377615985963927
2006-07-01,336.9,204.7,469.9,16.78,,450.0500946231772,245.1125989044431,1.83609531551917
2006-08-01,338.1,205.1,472.9,16.82,,451.6531225648448,245.69689592209372,1.8382532708433414
2006-09-01,339.1,205.0,474.4,16.87,,452.9889791829011,246.42726719415703,1.8382258763028714
2006-10-01,340.0,204.4,476.0,16.93,,454.19125013915186,247.30371272063297,1.8365727111110124
2006-11-01,340.8,204.5,478.2,16.98,,455.2599354335969,248.03408399269625,1.8354732869979384
2006-12-01,341.2,204.8,479.8,17.05,,455.79427808081937,249.0566037735849,1.830083086233593
2007-01-01,343.579,206.057,481.4,17.09,73010.0,458.97228097517547,249.6409007912355,1.8385299825487942
2007-02-01,345.35,207.177,484.146,17.16,,461.33808304575325,250.66342057212415,1.8404683140155706
2007-03-01,345.899,208.08,486.613,17.22,,462.0714683290661,251.53986609860007,1.8369711151390238
2007-04-01,347.32,208.541,489.844,17.27,,463.9697205833241,252.27023737066338,1.839177405226794
2007-05-01,348.491,208.902,493.25,17.34,,465.5340086830681,253.29275715155202,1.8379286242461577
2007-06-01,349.513,210.649,495.795,17.41,,466.8992541467216,254.31527693244064,1.835907224207983
2007-07-01,351.719,211.286,500.259,17.46,,469.8461538461539,255.04564820450395,1.8422041589567366
2007-08-01,353.376,211.098,503.134,17.5,,472.0596682622732,255.62994522215456,1.846652464178369
2007-09-01,354.531,210.865,506.835,17.55,,473.60258265612833,256.36031649421784,1.8474098843875095
2007-10-01,356.343,210.701,511.89,17.58,,476.0231548480464,256.79853925745584,1.8536832655843294
2007-11-01,357.75,210.745,515.793,17.63,,477.90270510965166,257.5289105295191,1.8557244859499855
2007-12-01,358.908,210.933,518.567,17.68,,479.44962707336094,258.25928180158246,1.8564661983444855
2008-01-01,360.463,212.244,522.7,17.74,70520.0,481.5268841144385,259.1357273280584,1.858203378898963
2008-02-01,360.75,213.026,523.864,17.8,,481.91027496382065,260.01217285453436,1.8534142831590763
2008-03-01,361.533,214.389,525.453,17.88,,482.9562506957588,261.1807668898356,1.849126397961251
2008-04-01,362.072,214.89,527.597,17.92,,483.6762774128911,261.7650639074863,1.8477495437811107
2008-05-01,362.658,215.809,529.919,17.98,,484.45908939107215,262.64150943396226,1.8445640616183063
2008-06-01,363.671,217.941,532.439,18.04,,485.81231214516316,263.5179549604382,1.8435643681968383
2008-07-01,364.156,219.61,534.562,18.1,,486.4602026049205,264.3944004869142,1.839903574769531
2008-08-01,364.977,219.148,537.7,18.18,,487.5569408883447,265.56299452221543,1.8359370505123542
2008-09-01,365.841,218.184,540.409,18.2,,488.71112100634537,265.85514303104077,1.8382609244812853
2008-10-01,366.53,217.383,542.784,18.25,,489.63152621618616,266.58551430310405,1.8366771634091186
2008-11-01,367.459,216.467,543.704,18.31,,490.8725370143605,267.46195982958,1.8352985124581158
2008-12-01,368.748,216.073,546.583,18.39,,492.59445619503515,268.6305538648813,1.8337246046955837
2009-01-01,369.824,216.928,550.835,18.39,70070.0,494.03183791606375,268.6305538648813,1.8390753799530832
2009-02-01,370.853,217.18,553.905,18.44,,495.40643437604376,269.3609251369446,1.8391919099779463
2009-03-01,371.705,217.374,557.546,18.5,,496.5445842146277,270.23737066342056,1.8374386303257508
