date,CUSR0000SAE1,CUSR0000SAE2,CPIEDUSL,AHETPI,MEHOINUSA672N
1964-01-01,,,,2.5,
1964-02-01,,,,2.5,
1964-03-01,,,,2.51,
1964-04-01,,,,2.52,
1964-05-01,,,,2.52,
1964-06-01,,,,2.53,
1964-07-01,,,,2.54,
1964-08-01,,,,2.55,
1964-09-01,,,,2.56,
1964-10-01,,,,2.55,
1964-11-01,,,,2.56,
1964-12-01,,,,2.58,
1965-01-01,,,,2.58,
1965-02-01,,,,2.59,
1965-03-01,,,,2.61,
1965-04-01,,,,2.6,
1965-05-01,,,,2.62,
1965-06-01,,,,2.63,
1965-07-01,,,,2.63,
1965-08-01,,,,2.64,
1965-09-01,,,,2.65,
1965-10-01,,,,2.66,
